<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20181120,72.10,75.50,72.10,75.00,500750
VHM,20181119,71.50,72.90,69.90,72.90,323690
VHM,20181116,74.50,74.90,70.50,71.20,788790
VHM,20181115,74.80,75.80,74.50,75.50,301910
VHM,20181114,75.80,76.00,75.00,75.80,284050
VHM,20181113,73.10,76.00,73.10,75.80,271790
VHM,20181112,75.40,76.20,75.10,76.00,274460
VHM,20181109,74.50,76.60,74.00,76.00,520370
VHM,20181108,73.40,74.70,73.00,74.70,481780
VHM,20181107,72.40,72.70,70.80,72.70,298710
VHM,20181106,73.00,73.00,71.00,72.00,379000
VHM,20181105,73.00,73.80,71.00,72.00,758430
VHM,20181102,70.00,73.80,70.00,72.00,1170010
VHM,20181101,65.10,70.00,65.10,69.00,871070
VHM,20181031,62.30,66.40,62.30,66.40,1099060
VHM,20181030,60.10,63.00,60.00,62.10,574230
VHM,20181029,62.50,63.60,61.00,61.80,338080
VHM,20181026,68.50,69.00,63.80,65.00,1004220
VHM,20181025,68.50,70.20,68.00,68.50,479440
VHM,20181024,73.50,74.20,72.50,72.50,233830
VHM,20181023,73.80,74.50,73.40,74.10,136760
VHM,20181022,74.80,75.50,74.70,74.70,252630
VHM,20181019,74.60,76.10,74.00,74.80,282610
VHM,20181018,76.40,76.80,75.50,75.60,146220
VHM,20181017,76.30,77.00,75.00,76.40,300010
VHM,20181016,73.10,75.10,73.10,74.60,349810
VHM,20181015,77.00,77.00,73.00,73.10,505140
VHM,20181012,76.50,79.00,76.00,77.00,666960
VHM,20181011,77.00,80.20,75.10,76.50,736740
VHM,20181010,81.50,81.50,80.00,80.10,378520
VHM,20181009,81.20,82.20,80.00,80.00,267080
VHM,20181008,82.50,83.00,80.00,80.00,265800
VHM,20181005,83.20,83.20,81.68,81.68,304710
VHM,20181004,83.20,83.20,82.08,82.08,331810
VHM,20181003,83.92,83.92,81.52,81.60,467970
VHM,20181002,83.44,84.00,83.04,83.20,534540
VHM,20181001,85.20,85.68,82.48,82.48,523580
VHM,20180928,84.40,84.80,83.68,84.80,846730
VHM,20180927,82.40,83.60,82.40,83.20,525990
VHM,20180926,81.60,82.00,81.52,81.52,473580
VHM,20180925,82.40,82.72,81.28,81.92,472130
VHM,20180924,81.20,82.40,81.20,82.32,634680
VHM,20180921,83.68,84.08,81.20,81.20,8102520
VHM,20180920,84.00,84.00,83.12,84.00,336900
VHM,20180919,84.32,84.32,82.40,83.68,258160
