<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NVL,20181119,69.70,69.90,69.00,69.40,122050
NVL,20181116,72.10,72.20,69.00,69.70,178570
NVL,20181115,70.90,73.00,70.80,72.00,444090
NVL,20181114,70.90,72.20,70.50,70.90,412410
NVL,20181113,70.40,71.20,69.50,70.90,164260
NVL,20181112,70.00,70.80,68.60,70.70,195640
NVL,20181109,69.00,70.40,68.50,70.10,154360
NVL,20181108,69.30,69.90,68.20,69.00,543910
NVL,20181107,69.70,69.80,68.80,69.20,177680
NVL,20181106,69.90,70.30,69.50,69.80,142280
NVL,20181105,71.10,71.10,69.50,69.90,127620
NVL,20181102,71.00,71.20,70.50,71.10,483030
NVL,20181101,71.10,71.90,70.10,71.00,162470
NVL,20181031,70.10,71.10,69.90,71.10,420240
NVL,20181030,70.90,70.90,68.70,70.20,278100
NVL,20181029,73.10,73.10,70.10,71.20,185440
NVL,20181026,74.00,74.70,72.00,73.10,997510
NVL,20181025,72.80,74.50,71.00,74.50,936470
NVL,20181024,70.90,73.50,70.10,72.90,987660
NVL,20181023,71.00,71.00,69.40,70.90,454190
NVL,20181022,70.00,71.10,70.00,71.00,304330
NVL,20181019,72.50,72.50,69.10,70.00,935230
NVL,20181018,73.30,73.30,71.50,72.10,179250
NVL,20181017,73.40,73.50,71.00,73.40,877860
NVL,20181016,69.80,73.00,69.50,72.80,1088120
NVL,20181015,68.00,71.00,66.60,69.80,645190
NVL,20181012,63.80,68.20,63.50,68.00,847500
NVL,20181011,63.80,66.00,62.80,63.80,467850
NVL,20181010,65.10,65.10,63.40,64.00,1124690
NVL,20181009,63.30,65.00,63.30,64.90,414530
NVL,20181008,63.80,64.00,63.00,63.50,1031380
NVL,20181005,64.00,64.00,63.10,63.80,220250
NVL,20181004,63.80,64.00,63.20,64.00,187640
NVL,20181003,64.00,64.40,63.20,64.00,247900
NVL,20181002,64.00,64.80,63.90,64.30,228580
NVL,20181001,66.50,66.60,64.50,64.80,541970
NVL,20180928,66.50,66.80,65.50,66.50,924590
NVL,20180927,65.00,67.00,64.50,66.50,670940
NVL,20180926,64.00,65.20,63.00,64.80,698710
NVL,20180925,65.10,67.00,64.10,65.10,377310
NVL,20180924,63.50,64.10,63.00,64.10,403450
NVL,20180921,64.70,65.00,60.00,60.00,5031320
