<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCB,20181210,27.90,28.35,27.70,28.25,3389080
TCB,20181207,28.20,28.50,27.80,28.00,2249340
TCB,20181206,28.00,28.45,27.90,28.15,2977170
TCB,20181205,27.50,28.30,27.30,28.00,3540000
TCB,20181204,27.20,27.95,27.20,27.80,2885160
TCB,20181203,26.50,27.20,26.30,27.20,3059840
TCB,20181130,26.25,26.30,26.00,26.05,635260
TCB,20181129,26.45,26.60,26.05,26.05,1304530
TCB,20181128,26.00,26.15,25.90,26.15,668970
TCB,20181127,26.30,26.50,25.95,26.00,1040020
TCB,20181126,26.00,26.45,25.95,25.95,1195560
TCB,20181123,26.50,26.60,26.10,26.10,643390
TCB,20181122,26.90,26.90,24.65,26.50,901490
TCB,20181121,26.00,26.80,25.90,26.50,1028070
TCB,20181120,26.30,26.55,26.10,26.40,1534530
TCB,20181119,25.70,26.70,25.70,26.50,1754860
TCB,20181116,25.50,26.40,25.45,25.70,645780
TCB,20181115,25.25,25.55,25.05,25.25,971850
TCB,20181114,25.60,26.00,25.15,25.25,1692450
TCB,20181113,25.70,26.00,25.70,25.75,947810
TCB,20181112,26.30,26.50,25.85,26.30,784460
TCB,20181109,26.85,26.95,26.35,26.35,1090990
TCB,20181108,27.50,27.50,26.95,27.00,710570
TCB,20181107,26.70,27.20,26.70,27.00,1180500
TCB,20181106,27.40,27.40,26.75,26.95,1174180
TCB,20181105,26.70,26.95,26.50,26.85,920120
TCB,20181102,26.60,26.95,26.20,26.60,1048790
TCB,20181101,26.95,26.95,26.10,26.10,802870
TCB,20181031,26.10,26.90,26.10,26.90,1230140
TCB,20181030,25.70,26.10,25.60,25.80,1327540
TCB,20181029,25.80,26.00,25.50,25.70,1473740
TCB,20181026,26.90,26.90,25.50,25.85,1747390
TCB,20181025,25.20,26.30,25.10,26.10,2454470
TCB,20181024,27.90,28.00,26.50,26.50,1535430
TCB,20181023,28.80,28.80,26.80,27.80,2307530
TCB,20181022,29.00,29.20,28.80,28.80,2026290
TCB,20181019,28.40,29.00,28.10,29.00,1454000
TCB,20181018,28.80,29.10,28.70,28.90,1487880
TCB,20181017,29.30,29.30,28.95,29.10,1972280
TCB,20181016,28.15,28.90,28.15,28.70,1363410
TCB,20181015,28.70,28.75,28.00,28.20,2085500
TCB,20181012,27.85,28.80,27.30,28.70,2298230
TCB,20181011,28.20,29.10,27.70,27.85,4366960
TCB,20181010,29.80,30.10,29.65,29.70,1689250
TCB,20181009,29.40,29.75,29.15,29.75,2656380
TCB,20181008,29.10,29.75,29.10,29.35,2101380
TCB,20181005,30.10,30.25,29.75,29.80,3156560
TCB,20181004,29.50,30.20,29.35,30.20,3273230
TCB,20181003,29.40,29.50,29.15,29.35,1405830
TCB,20181002,28.60,29.40,28.60,29.10,3139750
TCB,20181001,29.15,29.25,28.60,28.65,2816100
TCB,20180928,29.50,29.65,29.00,29.15,3943650
TCB,20180927,29.20,29.65,29.15,29.40,3663710
TCB,20180926,28.00,29.35,27.80,28.90,4516320
TCB,20180925,28.00,28.20,27.80,28.00,2261840
TCB,20180924,28.30,28.45,27.95,28.10,2213810
TCB,20180921,28.00,28.45,27.80,28.30,4008110
TCB,20180920,26.60,28.00,26.60,28.00,5779740
TCB,20180919,26.20,27.05,26.20,26.60,2934180
TCB,20180918,26.05,26.15,25.55,26.15,1059520
TCB,20180917,25.25,27.00,25.15,26.05,2714630
TCB,20180914,25.20,25.40,25.15,25.25,1343360
TCB,20180913,25.00,25.40,25.00,25.20,1105010
TCB,20180912,25.50,25.55,25.00,25.00,1460210
TCB,20180911,25.45,25.50,25.30,25.40,780150
TCB,20180910,25.40,25.50,25.00,25.50,1297720
TCB,20180907,25.00,25.30,24.90,25.25,2154200
TCB,20180906,25.80,25.90,24.80,24.80,2694080
TCB,20180905,26.10,26.25,25.75,25.80,1052150
TCB,20180904,26.30,26.60,26.05,26.10,991610
TCB,20180831,26.30,26.85,26.30,26.30,1723040
TCB,20180830,26.15,26.30,26.05,26.30,887840
TCB,20180829,26.25,26.35,26.10,26.15,778240
TCB,20180828,26.60,26.80,26.20,26.25,1630740
TCB,20180827,26.60,26.85,26.50,26.50,1480540
TCB,20180824,26.75,26.95,26.50,26.60,817010
TCB,20180823,27.00,27.15,26.65,26.75,1031560
TCB,20180822,26.70,27.40,26.55,26.65,1386850
TCB,20180821,26.50,26.65,26.25,26.50,904270
TCB,20180820,26.70,26.70,25.90,26.50,847610
TCB,20180817,26.50,26.90,26.50,26.50,691890
TCB,20180816,26.50,26.90,25.95,26.50,1576340
TCB,20180815,27.00,27.20,26.50,26.50,1030610
TCB,20180814,27.50,27.50,27.00,27.20,850440
TCB,20180813,27.00,27.65,26.80,27.45,1369550
TCB,20180810,27.40,27.70,26.40,27.20,2362660
TCB,20180809,27.90,28.30,27.40,27.40,2342630
TCB,20180808,28.15,28.15,27.40,27.75,1406450
TCB,20180807,27.75,28.20,27.40,27.95,1670400
TCB,20180806,28.00,28.30,27.80,28.00,1478320
TCB,20180803,28.60,28.90,28.00,28.35,2418140
TCB,20180802,27.30,28.50,27.00,28.50,3507500
TCB,20180801,27.90,28.65,27.15,27.55,2060620
TCB,20180731,26.15,27.90,26.00,27.80,4690660
TCB,20180730,25.95,26.20,25.90,26.10,1438740
TCB,20180727,25.80,26.20,25.60,25.95,1427670
TCB,20180726,26.00,26.25,25.50,25.80,645430
TCB,20180725,26.80,26.85,24.90,26.75,3348190
TCB,20180724,27.00,27.50,26.30,26.40,1019120
TCB,20180723,27.30,27.85,26.60,26.60,878370
TCB,20180720,27.50,27.90,27.20,27.90,1473990
TCB,20180719,28.00,28.00,27.50,27.90,680430
TCB,20180718,27.50,28.50,27.30,27.95,1139340
TCB,20180717,26.20,27.50,25.70,27.10,1174520
TCB,20180716,26.00,26.20,25.75,26.20,430160
TCB,20180713,26.40,26.50,26.00,26.20,406500
TCB,20180712,25.10,26.00,25.10,26.00,686180
TCB,20180711,27.10,27.10,25.75,25.75,1134570
TCB,20180710,28.50,28.50,27.50,27.65,549100
TCB,20180709,29.00,29.20,27.85,28.50,631240
TCB,20180706,28.00,29.00,27.00,28.80,1160990
TCB,20180705,28.85,28.85,27.00,28.15,1583450
TCB,20180704,26.84,27.00,25.37,27.00,1102650
TCB,20180703,29.17,29.43,27.27,27.27,2112230
TCB,20180702,30.60,30.60,29.00,29.30,669570
TCB,20180629,30.33,30.66,29.00,30.57,1583700
TCB,20180628,31.00,31.17,29.50,30.73,1319230
TCB,20180627,31.17,31.67,31.17,31.20,394860
TCB,20180626,31.47,31.84,31.40,31.67,493790
TCB,20180625,32.00,32.34,31.90,31.97,918340
TCB,20180622,31.70,31.70,31.20,31.67,328710
TCB,20180621,31.80,31.80,31.10,31.73,497790
TCB,20180620,31.67,32.17,31.04,31.73,554870
TCB,20180619,31.70,32.33,31.00,31.67,2092720
TCB,20180618,34.70,35.00,32.67,33.33,825810
TCB,20180615,35.17,35.17,34.50,35.07,723460
TCB,20180614,35.50,35.50,34.50,35.00,617130
TCB,20180613,35.00,36.00,34.83,35.13,772670
TCB,20180612,36.00,36.00,34.30,35.00,1139130
TCB,20180611,34.94,36.34,34.40,36.33,1229830
TCB,20180608,33.67,35.07,33.17,35.07,2008500
TCB,20180607,31.50,32.80,31.04,32.80,1376540
TCB,20180606,31.67,32.00,30.33,30.67,1605480
TCB,20180605,33.03,35.33,32.00,32.00,1357500
TCB,20180604,34.13,35.00,34.13,34.13,2811840
